X,Y,D,e8:ba:70:61:07:00,e8:ba:70:c2:41:92,e8:ba:70:61:25:54,e8:ba:70:c2:4e:32,e8:ba:70:61:25:50,e8:ba:70:61:25:53,e8:ba:70:9c:c7:33,e8:ba:70:9c:c7:35,e8:ba:70:c2:44:15,58:35:d9:aa:d5:e3,e8:ba:70:c2:44:12,e8:ba:70:61:07:03,58:35:d9:aa:d5:e5,e8:ba:70:61:07:02,58:35:d9:aa:99:e0,e8:ba:70:c2:44:35,e8:ba:70:c2:44:14,e8:ba:70:c2:4e:33,30:f7:72:5c:ed:28,e8:ba:70:c2:44:13,e8:ba:70:61:07:01,dc:a5:f4:b8:73:82,58:35:d9:aa:d5:e0,e8:ba:70:c2:44:31,58:35:d9:aa:d5:e2,14:dd:a9:70:e7:40,e8:ba:70:c2:41:95,e8:ba:70:c2:41:91,e8:ba:70:c2:4e:34,e8:ba:70:92:aa:b3,e8:ba:70:c2:41:93,58:35:d9:aa:d5:e4,58:35:d9:aa:99:e1,e8:ba:70:9c:c7:31,e8:ba:70:c2:44:33,e8:ba:70:c2:44:10,dc:a5:f4:b8:73:85,00:19:5b:1f:fd:30,e8:ba:70:61:07:04,e8:ba:70:9c:c7:32,58:35:d9:aa:99:e3,e8:ba:70:61:25:55,e8:ba:70:61:07:05,e8:ba:70:c2:41:90,e8:ba:70:c2:4e:30,e8:ba:70:c2:4e:35,00:26:5a:41:4e:88,58:35:d9:aa:d5:e1,e8:ba:70:c2:41:94,e8:ba:70:61:25:52,dc:a5:f4:b8:73:81,e8:ba:70:c2:4e:31,e8:ba:70:61:25:51,58:35:d9:aa:99:e2,00:26:5a:41:4e:8a,e8:ba:70:c2:44:11,14:dd:a9:70:cc:60,dc:a5:f4:b8:73:80,e8:ba:70:9c:c7:30,e8:ba:70:c2:44:34,e8:ba:70:9c:c7:34,48:ee:0c:ee:27:e4,e8:ba:70:c2:44:32,dc:a5:f4:b8:73:83,dc:a5:f4:b8:73:84,58:35:d9:aa:99:e4,
11,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.75,-76.0,0.0,-57.75,-67.5,0.0,0.0,0.0,0.0,0.0,-57.75,0.0,0.0,0.0,0.0,-46.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78.5,-75.0,0.0,0.0,-12.75,0.0,0.0,0.0,0.0,0.0,0.0,-45.5,0.0,0.0,0.0,-79.25,0.0,-61.25,-64.0,0.0
12,2,0,-67,-67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.75,0.0,0.0,-17.25,-67.0,0.0,0.0,0.0,0.0,-79.0,0.0,0.0,-61.0,-17.75,0.0,-17.0,-59.0,-17.5,-17.5,0.0,0.0,0.0,-17.75,0.0,0.0,0.0,0.0,-59.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.0,-71.0,-17.5,0.0,-59.0,0.0,0.0,0.0,0.0,0.0,-77.0,-61.5,0.0,0.0,0.0,-76.5,0.0,-63.0,-62.0,0.0
13,2,0,-73,-73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.5,0.0,0.0,-34.5,0.0,0.0,0.0,0.0,0.0,-56.25,0.0,0.0,-63.25,-35.5,0.0,-34.0,-57.0,-35.0,-35.0,0.0,0.0,0.0,-35.5,0.0,0.0,0.0,0.0,-29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-79.0,-35.5,-35.0,0.0,-63.0,0.0,0.0,0.0,-60.0,0.0,0.0,-59.5,0.0,0.0,0.0,-40.5,0.0,-63.25,-62.25,0.0
14,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.25,0.0,0.0,0.0,-68.5,0.0,0.0,0.0,0.0,0.0,-19.75,0.0,0.0,0.0,0.0,-63.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.25,0.0,0.0,0.0,-65.75,0.0,0.0,0.0,-39.5,0.0,0.0,-63.75,0.0,0.0,0.0,0.0,0.0,-71.25,-65.75,0.0
15,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.75,0.0,0.0,0.0,-68.75,0.0,0.0,0.0,0.0,0.0,-39.5,0.0,0.0,0.0,0.0,-63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.25,0.0,0.0,0.0,-64.25,0.0,0.0,0.0,-80.0,0.0,0.0,-68.5,0.0,0.0,0.0,0.0,0.0,-70.75,-64.5,0.0
16,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.25,0.0,0.0,0.0,-76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-65.25,0.0,0.0,0.0,-72.75,0.0,0.0,0.0,-77.5,0.0,0.0,-71.75,0.0,0.0,0.0,0.0,0.0,-77.5,-71.25,0.0
16,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.25,0.0,0.0,0.0,-78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.75,0.0,0.0,0.0,-54.0,0.0,0.0,0.0,-74.25,0.0,0.0,-74.0,0.0,0.0,0.0,0.0,0.0,-74.0,-55.5,0.0
17,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.75,-43.0,0.0,0.0,-77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-65.75,0.0,0.0,0.0,-54.0,0.0,0.0,0.0,-79.0,0.0,0.0,-73.0,0.0,0.0,0.0,0.0,0.0,-75.25,-55.75,0.0
18,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.25,-84.5,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.0,0.0,0.0,-39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-68.0,0.0,0.0,0.0,-18.0,0.0,0.0,0.0,-76.5,0.0,0.0,-18.25,0.0,0.0,0.0,0.0,0.0,-74.0,-38.5,0.0
19,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.0,0.0,-91.0,-87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.0,0.0,0.0
