X,Y,D,e8:ba:70:c2:4e:32,e8:ba:70:9c:c7:33,e8:ba:70:61:07:03,e8:ba:70:c2:4e:33,30:f7:72:5c:ed:28,dc:a5:f4:b8:73:82,14:dd:a9:70:e7:40,e8:ba:70:c2:4e:34,dc:a5:f4:b8:73:85,58:35:d9:aa:99:e3,e8:ba:70:c2:4e:30,e8:ba:70:c2:4e:35,dc:a5:f4:b8:73:81,e8:ba:70:c2:4e:31,14:dd:a9:70:cc:60,dc:a5:f4:b8:73:80,48:ee:0c:ee:27:e4,dc:a5:f4:b8:73:83,dc:a5:f4:b8:73:84
14,2,2,0,0,0,0,0,-62,-62,0,-62,0,0,0,-61,0,0,-75,0,-65,-62
14,2,3,0,0,0,0,0,-64,-68,0,-64,0,0,0,-64,0,0,-66,0,-74,-64
15,2,0,0,0,0,0,0,-71,-75,0,-64,0,0,0,-71,0,0,-71,0,-79,-70
15,2,1,0,0,0,0,0,-71,-67,0,-75,0,0,0,-71,0,0,-71,0,-79,-71
15,2,2,0,0,0,0,0,-70,-79,0,-75,0,0,0,-71,0,0,-71,0,-77,-70
15,2,3,0,0,0,0,0,-70,-79,0,-75,0,0,0,-75,0,0,-71,0,-77,-70
16,2,0,0,0,0,0,0,-74,-79,0,-75,0,0,0,-74,0,0,-74,0,-77,-74
16,2,1,0,0,0,0,0,-71,-74,0,-70,0,0,0,-72,0,0,-71,0,-74,-74
16,2,2,0,0,0,0,0,-71,-78,0,-76,0,0,0,-72,0,0,-75,0,-74,-74
16,2,3,0,0,0,0,0,-71,-78,0,-76,0,0,0,-72,0,0,-75,0,-74,-74
16,2,3,0,0,0,0,0,0,-82,0,-76,0,0,0,0,0,0,-75,0,-74,0
17,2,0,0,0,0,0,0,0,-77,0,-78,0,0,0,0,0,0,-73,0,-74,0
17,2,1,0,0,0,0,0,-73,-77,0,-74,0,0,0,-72,0,0,-73,0,-79,-73
17,2,2,0,0,0,0,0,-73,-77,0,-74,0,0,0,-72,0,0,-73,0,-74,-73
17,2,3,0,0,0,0,0,-73,-77,0,-78,0,0,0,-72,0,0,-73,0,-74,-77
18,2,0,0,0,0,0,0,-73,0,0,-78,0,0,0,-72,0,0,-73,0,-74,-77
18,2,1,0,0,0,0,0,0,0,0,-78,0,0,0,0,0,0,0,0,-74,-77
18,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,0
18,2,3,0,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,-74,0
19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,0
19,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,0
19,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,0
19,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,0
2,2,1,0,0,0,0,0,-73,-89,0,0,0,0,0,-74,0,0,0,0,-76,-74
2,2,0,0,0,0,0,0,-73,0,0,-74,0,0,0,-74,0,0,-74,0,-76,-73
2,2,2,0,0,0,0,0,0,0,0,-74,0,0,0,-73,0,0,-74,0,-76,-73
