X,Y,D,e8:ba:70:92:aa:b5,e8:ba:70:92:c4:e1,dc:a5:f4:b8:73:83,e8:ba:70:c2:44:11,e8:ba:70:c2:44:34,e8:ba:70:61:25:52,58:35:d9:aa:c2:44,58:35:d9:aa:d5:e3,e8:ba:70:61:07:01,e8:ba:70:c2:4e:31,dc:a5:f4:b8:73:84,dc:a5:f4:b8:73:80,58:35:d9:aa:19:64,58:35:d9:aa:d5:e0,e8:ba:70:c2:44:33,e8:ba:70:61:07:00,58:35:d9:aa:c2:42,e8:ba:70:9c:c7:33,e8:ba:70:c2:41:90,e8:ba:70:c2:41:95,e8:ba:70:92:aa:b4,e8:ba:70:61:25:55,e8:ba:70:92:b3:24,e8:ba:70:c2:44:32,e8:ba:70:61:25:50,e8:ba:70:c2:44:14,e8:ba:70:c2:44:35,e8:ba:70:92:b3:20,e8:ba:70:92:c4:e0,c4:a8:1d:8d:6f:08,e8:ba:70:c2:41:92,e8:ba:70:c2:44:13,58:35:d9:aa:d5:e5,e8:ba:70:92:aa:b1,e8:ba:70:61:07:02,e8:ba:70:61:25:54,e8:ba:70:61:25:53,e8:ba:70:92:c4:e4,e8:ba:70:c2:44:12,58:35:d9:aa:c2:40,58:35:d9:aa:99:e0,e8:ba:70:92:b3:22,e8:ba:70:92:c4:e3,e8:ba:70:92:b3:23,e8:ba:70:c2:4e:30,58:35:d9:aa:d5:e2,e8:ba:70:c2:4e:33,dc:a5:f4:b8:73:81,58:35:d9:aa:c4:e0,e8:ba:70:c2:41:91,e8:ba:70:61:07:03,e8:ba:70:c2:41:94,e8:ba:70:92:aa:b3,58:35:d9:aa:99:e3,e8:ba:70:9c:c7:32,e8:ba:70:c2:44:31,14:dd:a9:70:cc:60,e8:ba:70:9c:c7:35,e8:ba:70:c2:4e:32,e8:ba:70:92:b3:25,30:f7:72:5c:ed:28,58:35:d9:aa:99:e1,dc:a5:f4:b8:73:82,e8:ba:70:92:aa:b0,58:35:d9:aa:99:e2,e8:ba:70:61:25:51,e8:ba:70:61:07:04,00:26:52:db:01:b0,58:35:d9:aa:99:e5,00:26:5a:41:4e:88,e8:ba:70:c2:44:30,e8:ba:70:c2:44:10,58:35:d9:aa:19:e0,58:35:d9:aa:99:e4,e8:ba:70:c2:4e:34,48:ee:0c:ee:27:e4,e8:ba:70:92:c4:e5,e8:ba:70:9c:c7:31,e8:ba:70:9c:c7:34,e8:ba:70:9c:c7:30,14:dd:a9:70:e7:40,e8:ba:70:92:aa:b2,e8:ba:70:c2:44:15,58:35:d9:aa:d5:e1,e8:ba:70:c2:41:93,e8:ba:70:92:b3:21,dc:a5:f4:b8:73:85,e8:ba:70:c2:4e:35,00:26:5a:41:4e:8a,e8:ba:70:61:07:05,58:35:d9:aa:d5:e4,00:19:5b:1f:fd:30,e8:ba:70:92:c4:e2
18,9,2,0,0,0,0,0,0,0,0,-70,0,0,0,0,0,0,-68,0,-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-69,0,0,0,-39,0,0,-39,0,0,0,0,0,0,0,0,-71,0,0,-63,0,0,0,0,0,-63,0,-39,-39,-38,0,0,0,0,0,0,0,0,0,-69,0,0,0
18,9,3,0,0,0,0,0,0,0,0,-70,0,0,0,0,0,0,-70,0,-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70,0,0,0,-40,0,0,-41,0,0,0,0,0,0,0,0,-71,0,0,-64,0,0,0,0,0,-71,0,-41,-41,-41,0,0,0,0,0,0,0,0,0,-71,0,0,0
18,10,3,0,0,0,0,0,0,0,0,-74,0,0,0,0,0,0,-74,0,-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,0,0,0,-33,0,0,-33,0,0,0,0,0,0,0,0,-74,0,0,-68,0,0,0,0,0,-69,0,-33,-33,-32,0,0,0,0,0,0,0,0,0,-74,0,0,0
18,10,0,0,0,0,0,0,0,0,0,-73,0,0,0,0,0,0,-73,0,-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,0,0,0,-34,0,0,-34,0,0,0,0,0,0,0,0,-73,0,0,-69,0,0,0,0,0,-67,0,-34,-34,-34,0,0,0,0,0,0,0,0,0,-73,0,0,0
18,10,1,0,0,0,0,0,0,0,0,-73,0,0,0,0,0,0,0,0,-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,0,0,0,-44,0,0,-45,0,0,0,0,0,0,0,0,0,0,0,-68,0,0,0,0,0,-73,0,-45,-45,-45,0,0,0,0,0,0,0,0,0,0,0,0,0
18,10,2,0,0,0,0,0,0,0,0,-71,0,0,0,0,0,0,-71,0,-44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71,0,0,0,-44,0,0,-45,0,0,0,0,0,0,0,0,-71,0,0,-64,0,0,0,0,0,-69,0,-45,-45,-45,0,0,0,0,0,0,0,0,0,-71,0,0,0
10,1,0,-72,0,-51,0,-74,0,0,-69,-65,0,-51,-51,0,-68,-73,-65,0,0,-69,-69,0,-72,0,-74,0,0,-74,0,0,0,-69,0,-69,0,-65,0,0,0,0,0,0,0,0,0,0,-69,0,-51,0,-69,-65,0,0,0,0,-73,0,0,0,0,0,0,-52,0,0,0,-64,0,0,-72,-73,0,0,0,0,0,0,0,0,0,-58,0,0,-65,-69,0,-51,0,0,-64,-70,0,0
10,1,1,-72,0,-60,0,-74,0,0,-67,-70,-72,-60,-61,0,-66,-73,-70,0,0,-69,-73,0,-72,0,0,0,0,0,0,0,0,-74,0,-65,0,-71,0,0,0,0,0,0,0,0,0,0,-64,-72,-59,0,-74,-71,0,0,0,0,0,0,0,-72,0,0,0,-60,0,0,0,-71,0,0,-72,0,0,0,0,0,0,0,0,0,0,-50,0,0,-64,-74,0,-60,0,0,-71,-65,0,0
10,1,2,-72,0,-54,0,-74,0,0,-67,-66,0,-54,-54,0,-66,0,-67,0,0,0,-73,0,-72,0,0,0,0,0,0,0,0,0,0,-67,0,-67,0,0,0,0,0,0,0,0,0,0,-67,-72,-54,0,0,-68,0,0,0,0,0,0,0,0,0,0,0,-55,0,0,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,-53,0,0,-64,-74,0,-54,0,0,-67,-68,0,0
10,1,3,-72,0,-49,0,-69,-70,0,-70,-72,0,-48,-49,0,-66,0,-71,0,0,-62,-62,0,-70,0,-70,-72,0,-68,0,0,0,-62,0,-71,0,-73,-70,-70,0,0,0,0,0,0,0,-74,-71,-72,-49,0,-63,-68,-63,0,0,-72,0,-74,0,-72,0,-72,0,-49,0,0,-68,-70,0,0,0,-71,0,0,0,-74,0,0,-72,-73,0,-39,0,0,-72,-63,0,-49,0,0,-72,-71,0,0
